t,num_objects,dist_min,dist_p10,dist_p50,dist_p90,rel_speed_p10,rel_speed_p50,rel_speed_p90,rel_speed_max,speed_p10,speed_p50,speed_p90,speed_max,size_p10,size_p50,size_p90,size_max
1789224597117,2.0,120.98838599254859,120.98838599254859,120.98838599254859,120.98838599254859,41.974127835831005,41.974127835831005,41.974127835831005,41.974127835831005,11.311435029661265,27.76066055823383,44.2098860868064,48.32219246894954,25626.529955235266,85775.5127375822,145924.49551992916,160961.74121551588
1789224597189,2.0,119.94887352443193,119.94887352443193,119.94887352443193,119.94887352443193,17.73717833133168,17.73717833133168,17.73717833133168,17.73717833133168,4.825214644484831,11.780640734200215,18.7360668239156,20.474923346344447,25541.794740719815,85567.01111714775,145592.2274935757,160598.53158768266
1789224597250,2.0,125.6065055427416,125.6065055427416,125.6065055427416,125.6065055427416,106.7134899702579,106.7134899702579,106.7134899702579,106.7134899702579,12.978461058608644,53.982967813971236,94.98747456933383,105.23860125817447,25361.75514057912,84570.27471906133,143778.79429754353,158580.9241921641
1789224597320,2.0,129.23967233171288,129.23967233171288,129.23967233171288,129.23967233171288,56.81958688404964,56.81958688404964,56.81958688404964,56.81958688404964,11.74232239173715,30.980679925709367,50.21903745968159,55.02862684317464,24995.723688315415,83621.88230763655,142248.04092695768,156904.58058178797
1789224597401,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,20.570450546577565,20.570450546577565,20.570450546577565,20.570450546577565,155771.72483241465,155771.72483241465,155771.72483241465,155771.72483241465
1789224597472,2.0,129.14266404641768,129.14266404641768,129.14266404641768,129.14266404641768,26.74718169977369,26.74718169977369,26.74718169977369,26.74718169977369,22.15576153255252,22.408629021291656,22.66149651003079,22.724713382215572,24093.456081224187,82124.07474464714,140154.69340807007,154662.34807392582
1789224597533,3.0,0.43665119756116805,25.986173240258417,128.1842614110474,128.50756151554927,7.712693837652745,14.742903728514356,17.87230952224076,18.65466097067236,1.1910282729874686,5.955141364937343,16.11475704952536,18.65466097067236,9592.652904460765,9891.572953035124,124770.76277096216,153490.5602254439
1789224597614,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,1.907324973787356,1.907324973787356,1.907324973787356,1.907324973787356,201447.16877664253,201447.16877664253,201447.16877664253,201447.16877664253
1789224597684,2.0,76.92472049286002,76.92472049286002,76.92472049286002,76.92472049286002,171.54885726669193,171.54885726669193,171.54885726669193,171.54885726669193,24.33732173140252,91.46281110636464,158.58830048132677,175.36967282506728,28881.73900384847,104608.9858809011,180336.23275795375,199268.0444772169
1789224597754,2.0,95.19376883744698,95.19376883744698,95.19376883744698,95.19376883744698,380.27534368335057,380.27534368335057,380.27534368335057,380.27534368335057,49.63992768770066,200.77787081107283,351.915813934445,389.70029971528805,29023.75209636721,104919.59993097535,180815.4477655835,199789.40972423553
